,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
2910,Market Cap.,7692.50,8925.00,8160.00,8245.00,6035.00,DTC,Dusit Thani PCL,Consumer Cyclical,Resorts & Casinos,8241.529,1.74,9.75,THB
2911,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,DTC,Dusit Thani PCL,Consumer Cyclical,Resorts & Casinos,8241.529,1.74,9.75,THB
2912,P/E,52.29,172.93,17.72,48.24,18.85,DTC,Dusit Thani PCL,Consumer Cyclical,Resorts & Casinos,8241.529,1.74,9.75,THB
2913,P/BV,1.71,1.97,1.65,1.69,1.27,DTC,Dusit Thani PCL,Consumer Cyclical,Resorts & Casinos,8241.529,1.74,9.75,THB
2914,Book Value per share (Baht),5.31,5.34,5.82,5.74,5.58,DTC,Dusit Thani PCL,Consumer Cyclical,Resorts & Casinos,8241.529,1.74,9.75,THB
2915,Dvd. Yield(%),1.33,0.95,1.65,1.75,2.68,DTC,Dusit Thani PCL,Consumer Cyclical,Resorts & Casinos,8241.529,1.74,9.75,THB
2916,Assets,5749.83,7097.25,8002.85,8721.90,9152.49,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2917,Liabilities,2372.61,3316.40,3681.06,5202.98,5272.72,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2918,Equity,3328.87,3525.29,3693.78,3366.63,3733.90,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2919,Paid-up Capital,652.80,652.80,652.80,723.14,723.14,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2920,Revenue,7183.22,7392.66,8052.16,8190.47,2193.93,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2921,Net Profit,1421.72,1116.87,978.75,972.79,367.27,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2922,EPS (Baht),0.22,0.17,0.15,0.14,0.05,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2923,ROA(%),32.91,20.68,18.26,17.10,16.35,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2924,ROE(%),44.41,32.59,27.12,27.56,26.87,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2925,Net Profit Margin(%),19.79,15.11,12.16,11.88,16.74,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2926,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2927,Last Price(Baht),4.44,3.46,1.96,1.89,1.81,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2928,Market Cap.,28984.29,22586.86,12794.87,13667.41,13088.89,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2929,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/03/2020,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2930,P/E,19.84,18.57,13.31,14.23,12.66,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2931,P/BV,8.93,6.45,3.44,2.95,3.51,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2932,Book Value per share (Baht),0.50,0.54,0.57,0.64,0.52,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2933,Dvd. Yield(%),3.88,4.72,6.53,5.54,5.77,DCC,Dynasty Ceramic PCL,Industrials,Building Products & Equipment,13595.093,5.55,1.88,THB
2934,Assets,6748.00,3885.63,3217.34,2443.68,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2935,Liabilities,4759.86,3981.19,2940.63,2548.26,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2936,Equity,962.76,131.42,442.46,324.14,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2937,Paid-up Capital,1034.31,1208.12,2416.26,2416.26,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2938,Revenue,3754.03,2509.83,2398.51,1994.08,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2939,Net Profit,-614.45,-1163.11,-166.31,-272.67,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2940,EPS (Baht),-0.06,-0.08,-0.01,-0.01,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2941,ROA(%),-15.55,-41.42,-6.24,-19.72,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2942,ROE(%),-54.19,-212.60,-57.96,-71.14,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2943,Net Profit Margin(%),-16.37,-46.34,-6.93,-13.67,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2944,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2945,Last Price(Baht),0.27,0.07,0.06,0.04,0.03,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2946,Market Cap.,3723.51,1127.58,1932.99,1288.67,966.60,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2947,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2948,P/E,,,,,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2949,P/BV,2.57,0.98,2.20,2.34,2.98,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2950,Book Value per share (Baht),0.11,0.07,0.03,0.02,0.01,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2951,Dvd. Yield(%),5.02,,,,,EFORL,E For L Aim PCL,Healthcare,Medical Distribution,1288.674,-,0.04,THB
2952,Assets,1307.18,1430.05,1389.07,1265.90,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2953,Liabilities,257.00,201.49,167.15,122.71,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2954,Equity,1015.05,1198.94,1193.21,1118.05,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2955,Paid-up Capital,466.47,566.76,566.76,566.76,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2956,Revenue,562.09,607.17,565.68,485.50,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2957,Net Profit,88.61,87.30,59.77,-25.10,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2958,EPS (Baht),0.28,0.18,0.11,-0.04,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2959,ROA(%),9.62,8.11,5.68,-0.69,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2960,ROE(%),10.58,7.89,5.00,-2.17,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2961,Net Profit Margin(%),15.76,14.38,10.57,-5.17,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2962,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2963,Last Price(Baht),4.14,4.02,2.16,1.53,1.08,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2964,Market Cap.,1931.18,2278.40,1224.21,867.15,612.11,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2965,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2966,P/E,22.62,25.68,18.81,35.05,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2967,P/BV,2.70,2.09,1.04,0.75,0.55,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2968,Book Value per share (Baht),2.42,2.20,2.08,2.04,1.97,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2969,Dvd. Yield(%),0.59,1.02,4.63,4.58,,EASON,Eason Paint PCL,Basic Materials,Specialty Chemicals,855.815,4.64,1.51,THB
2970,Assets,2357.28,2782.77,3395.53,3590.97,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2971,Liabilities,1698.19,1753.73,1948.21,2136.56,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2972,Equity,656.71,1032.95,1425.94,1434.04,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2973,Paid-up Capital,142.21,207.50,239.85,239.87,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2974,Revenue,1427.74,1498.18,1504.79,1301.66,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2975,Net Profit,62.44,73.05,33.76,40.29,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2976,EPS (Baht),0.11,0.11,0.04,0.04,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2977,ROA(%),6.74,6.11,4.65,4.50,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2978,ROE(%),11.22,8.65,2.75,2.82,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2979,Net Profit Margin(%),4.37,4.88,2.24,3.09,,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2980,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2981,Last Price(Baht),3.22,6.00,2.28,1.22,1.08,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2982,Market Cap.,1831.62,4980.04,2187.44,1170.57,1036.25,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2983,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2984,P/E,24.26,106.13,41.24,34.94,25.72,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2985,P/BV,3.78,6.44,1.57,0.83,0.72,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2986,Book Value per share (Baht),0.86,0.99,1.46,1.48,1.49,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2987,Dvd. Yield(%),1.76,0.61,2.38,2.48,1.55,ECF,East Coast Furnitech PCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1160.98,2.5,1.21,THB
2988,Assets,2542.80,4074.59,6395.70,7428.45,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2989,Liabilities,1438.38,2693.83,4638.11,5543.13,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2990,Equity,1104.42,1380.77,1757.59,1885.31,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2991,Paid-up Capital,798.36,923.62,1108.86,1108.86,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2992,Revenue,306.08,476.05,690.33,902.55,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2993,Net Profit,25.03,128.72,142.26,130.09,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2994,EPS (Baht),0.03,0.15,0.13,0.12,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2995,ROA(%),1.91,4.84,3.36,2.32,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2996,ROE(%),2.72,10.36,9.07,7.14,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2997,Net Profit Margin(%),8.18,27.04,20.61,14.41,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2998,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
2999,Last Price(Baht),1.62,4.04,1.54,1.16,0.81,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
3000,Market Cap.,1293.34,3731.42,1707.64,1286.27,898.17,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
3001,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
3002,P/E,79.60,30.96,13.72,9.40,6.90,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
3003,P/BV,1.19,2.75,1.00,0.70,0.48,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
3004,Book Value per share (Baht),1.36,1.47,1.55,1.67,1.70,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
3005,Dvd. Yield(%),,1.07,2.16,,,ECL,Eastern Commercial Leasing PCL,Financial Services,Credit Services,1275.186,-,1.15,THB
3006,Assets,12597.97,12785.32,13139.08,13393.19,13582.42,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3007,Liabilities,3386.52,2861.02,3016.45,3077.92,3313.92,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3008,Equity,9208.26,9910.75,10098.55,10292.55,10248.82,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3009,Paid-up Capital,2800.00,2800.00,2800.00,2800.00,2800.00,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3010,Revenue,9187.67,9578.70,9908.89,10797.40,8028.10,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3011,Net Profit,1413.47,1380.98,990.96,904.32,757.36,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3012,EPS (Baht),0.51,0.49,0.35,0.32,0.27,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3013,ROA(%),13.50,11.81,8.11,7.50,7.06,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3014,ROE(%),16.24,14.45,9.91,8.87,8.50,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3015,Net Profit Margin(%),15.38,14.42,10.00,8.38,9.43,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3016,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3017,Last Price(Baht),12.90,11.30,6.85,6.25,4.82,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3018,Market Cap.,36120.00,31640.00,19180.00,17500.00,13496.00,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3019,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3020,P/E,24.42,26.81,19.55,19.87,15.52,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3021,P/BV,3.76,3.15,1.88,1.70,1.32,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3022,Book Value per share (Baht),3.43,3.59,3.65,3.68,3.66,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3023,Dvd. Yield(%),1.55,2.21,3.65,3.52,4.56,EPG,Eastern Polymer Group PCL,Basic Materials,Specialty Chemicals,17640.0,3.81,6.3,THB
3024,Assets,5791.06,5966.54,6082.48,7780.00,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3025,Liabilities,1064.21,1035.91,1311.99,3058.45,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3026,Equity,4610.23,4815.31,4657.70,4609.93,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3027,Paid-up Capital,5022.25,5022.25,5022.25,5022.25,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3028,Revenue,1967.64,2623.94,1721.60,1428.67,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3029,Net Profit,202.49,406.05,115.45,52.65,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3030,EPS (Baht),0.04,0.08,0.02,0.01,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3031,ROA(%),4.49,6.28,2.47,1.11,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3032,ROE(%),4.43,8.62,2.44,1.14,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3033,Net Profit Margin(%),10.29,15.47,6.71,3.69,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3034,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3035,Last Price(Baht),0.69,0.77,0.52,0.36,0.30,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3036,Market Cap.,3465.35,3867.13,2611.57,1808.01,1506.67,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3037,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3038,P/E,9.55,10.15,28.91,17.43,28.62,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3039,P/BV,0.76,0.81,0.57,0.39,0.33,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3040,Book Value per share (Baht),0.91,0.95,0.91,0.91,0.92,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3041,Dvd. Yield(%),3.62,5.19,10.58,5.56,,ESTAR,Eastern Star Real Estate PCL,Real Estate,Real Estate - Development,1808.009,5.56,0.36,THB
3042,Assets,,2280.32,2126.23,2190.32,2188.20,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3043,Liabilities,,1396.78,1325.56,1363.31,1351.76,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3044,Equity,,879.98,795.20,820.85,830.74,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3045,Paid-up Capital,,280.00,280.00,280.00,280.00,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3046,Revenue,,1585.59,1674.31,1845.27,382.08,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3047,Net Profit,,70.26,-73.59,28.61,9.89,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3048,EPS (Baht),,0.13,-0.13,0.05,0.02,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3049,ROA(%),,6.17,-0.55,4.26,3.82,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3050,ROE(%),,12.40,-8.79,3.54,2.52,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3051,Net Profit Margin(%),,4.43,-4.40,1.55,2.59,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3052,Statistics as of,,29/12/2017,28/12/2018,30/12/2019,12/05/2020,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3053,Last Price(Baht),,2.62,0.89,0.83,0.63,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3054,Market Cap.,,1467.20,498.40,464.80,352.80,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3055,F/S Period (As of date),,30/09/2017,30/09/2018,30/09/2019,31/12/2019,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3056,P/E,,26.48,,21.10,17.07*,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3057,P/BV,,1.72,0.63,0.57,0.43,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3058,Book Value per share (Baht),,1.52,1.40,1.45,1.47,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3059,Dvd. Yield(%),,1.15,3.37,,,ETE,Eastern Technical Engineering PCL,Industrials,Conglomerates,470.4,-,0.84,THB
3060,Assets,19860.40,19482.62,20140.90,21180.88,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3061,Liabilities,9812.09,9052.71,9335.75,10167.06,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3062,Equity,9841.76,10242.56,10624.66,10839.60,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3063,Paid-up Capital,1663.73,1663.73,1663.73,1663.73,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3064,Revenue,4413.99,4356.63,4255.32,4729.27,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3065,Net Profit,1299.71,1221.18,1117.52,1044.79,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3066,EPS (Baht),0.78,0.73,0.67,0.63,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3067,ROA(%),8.94,8.51,7.81,7.18,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3068,ROE(%),13.58,12.16,10.71,9.74,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3069,Net Profit Margin(%),29.45,28.03,26.26,22.09,,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3070,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3071,Last Price(Baht),11.80,12.40,10.70,11.00,10.00,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3072,Market Cap.,19631.96,20630.19,17801.86,18300.98,16637.25,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3073,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3074,P/E,14.64,16.76,16.03,17.02,15.92,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3075,P/BV,2.04,2.06,1.71,1.72,1.53,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3076,Book Value per share (Baht),5.77,6.01,6.24,6.39,6.52,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3077,Dvd. Yield(%),3.98,3.79,4.39,4.27,4.70,EASTW,Eastern Water Resources Development and Management PCL,Utilities,Utilities - Regulated Water,18300.977,4.36,11,THB
3078,Assets,877.62,900.31,968.30,1093.46,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3079,Liabilities,90.24,77.17,106.31,139.52,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
3080,Equity,787.38,810.88,855.08,911.06,,EKH,Ekachai Medical Care PCL,Healthcare,Medical Care Facilities,4080.0,2.43,6.8,THB
